Program for reverse faulting, modified from general4.f and layer5rev_distrib.f (https://github.com/aochihi/DepthStress)
Reference: Aochi (2018), Aochi & Tsuda (2023)
UPDATE 2024/03/12 by Mike (H. SU)
++++++++++++++++++++++++++++++++++++++++++++
INPUT parameters
static friction coef.  [mu_s]:   0.60
dynamic friction coef.  [mu_d]:   0.33
optimal fault orientation [phi]:  29.52
dip angle [dip]:  50.00
cohesion [cohesion]:   5.00
fault relative prestress [R_assume]:   1.00
++++++++++++++++++++++++++++++++++++++++++++
Depth[km] S1[MPa]   S3[MPa]   t0[MPa]   tp[MPa]   tr[MPa]   n0[MPa]   S         G              strain_c       strain         
1.200     42.664    29.906    6.282     27.436    12.340    37.393    -3.492    3.118e+09      2.046e-09      1.300e-08      
1.210     42.877    30.119    6.282     27.563    12.410    37.605    -3.473    3.118e+09      2.046e-09      1.307e-08      
1.220     43.089    30.331    6.282     27.691    12.480    37.818    -3.454    3.118e+09      2.046e-09      1.314e-08      
1.230     43.301    30.544    6.282     27.818    12.550    38.030    -3.436    3.118e+09      2.046e-09      1.321e-08      
1.240     43.514    30.756    6.282     27.946    12.620    38.243    -3.418    3.118e+09      2.046e-09      1.329e-08      
1.250     43.726    30.968    6.282     28.073    12.690    38.455    -3.401    3.118e+09      2.046e-09      1.336e-08      
1.260     43.939    31.181    6.282     28.200    12.760    38.667    -3.383    3.118e+09      2.046e-09      1.343e-08      
1.270     44.151    31.393    6.282     28.328    12.830    38.880    -3.367    3.118e+09      2.046e-09      1.350e-08      
1.280     44.363    31.606    6.282     28.455    12.900    39.092    -3.350    3.118e+09      2.046e-09      1.358e-08      
1.290     44.576    31.818    6.282     28.583    12.970    39.305    -3.334    3.118e+09      2.046e-09      1.365e-08      
1.300     44.788    32.030    6.282     28.710    13.041    39.517    -3.318    3.118e+09      2.046e-09      1.372e-08      
1.310     45.001    32.243    6.282     28.838    13.111    39.729    -3.303    3.118e+09      2.046e-09      1.379e-08      
1.320     45.213    32.455    6.282     28.965    13.181    39.942    -3.288    3.118e+09      2.046e-09      1.386e-08      
1.330     45.425    32.667    6.282     29.092    13.251    40.154    -3.273    3.118e+09      2.046e-09      1.394e-08      
1.340     45.638    32.880    6.282     29.220    13.321    40.366    -3.259    3.118e+09      2.046e-09      1.401e-08      
1.350     45.850    33.092    6.282     29.347    13.391    40.579    -3.245    3.118e+09      2.046e-09      1.408e-08      
1.360     46.062    33.305    6.282     29.475    13.461    40.791    -3.231    3.118e+09      2.046e-09      1.415e-08      
1.370     46.275    33.517    6.282     29.602    13.531    41.004    -3.217    3.118e+09      2.046e-09      1.423e-08      
1.380     46.487    33.729    6.282     29.730    13.601    41.216    -3.204    3.118e+09      2.046e-09      1.430e-08      
1.390     46.700    33.942    6.282     29.857    13.671    41.428    -3.190    3.118e+09      2.046e-09      1.437e-08      
1.400     46.912    34.154    6.282     29.984    13.741    41.641    -3.178    3.118e+09      2.046e-09      1.444e-08      
1.410     47.124    34.367    6.282     30.112    13.812    41.853    -3.165    3.118e+09      2.046e-09      1.451e-08      
1.420     87.524    34.579    26.070    44.389    21.664    65.648    4.157     1.294e+10      2.046e-09      3.515e-09      
1.430     87.765    34.821    26.070    44.534    21.744    65.890    4.268     1.294e+10      2.046e-09      3.535e-09      
1.440     88.007    35.063    26.070    44.679    21.823    66.132    4.382     1.294e+10      2.046e-09      3.554e-09      
1.450     88.249    35.304    26.070    44.824    21.903    66.374    4.501     1.294e+10      2.046e-09      3.574e-09      
1.460     88.491    35.546    26.070    44.969    21.983    66.615    4.624     1.294e+10      2.046e-09      3.594e-09      
1.470     88.733    35.788    26.070    45.114    22.063    66.857    4.752     1.294e+10      2.046e-09      3.614e-09      
1.480     88.974    36.030    26.070    45.259    22.143    67.099    4.886     1.294e+10      2.046e-09      3.634e-09      
1.490     89.216    36.272    26.070    45.405    22.222    67.341    5.025     1.294e+10      2.046e-09      3.653e-09      
1.500     89.458    36.514    26.070    45.550    22.302    67.583    5.170     1.294e+10      2.046e-09      3.673e-09      
1.510     89.700    36.755    26.070    45.695    22.382    67.824    5.321     1.294e+10      2.046e-09      3.693e-09      
1.520     89.942    36.997    26.070    45.840    22.462    68.066    5.479     1.294e+10      2.046e-09      3.713e-09      
1.530     90.184    37.239    26.070    45.985    22.542    68.308    5.644     1.294e+10      2.046e-09      3.733e-09      
1.540     90.425    37.481    26.070    46.130    22.621    68.550    5.817     1.294e+10      2.046e-09      3.753e-09      
1.550     90.667    37.723    26.070    46.275    22.701    68.792    5.998     1.294e+10      2.046e-09      3.772e-09      
1.560     90.909    37.964    26.070    46.420    22.781    69.034    6.187     1.294e+10      2.046e-09      3.792e-09      
1.570     91.151    38.206    26.070    46.565    22.861    69.275    6.386     1.294e+10      2.046e-09      3.812e-09      
1.580     91.393    38.448    26.070    46.710    22.941    69.517    6.595     1.294e+10      2.046e-09      3.832e-09      
1.590     91.634    38.690    26.070    46.855    23.020    69.759    6.816     1.294e+10      2.046e-09      3.852e-09      
1.600     91.876    38.932    26.070    47.001    23.100    70.001    7.048     1.294e+10      2.046e-09      3.871e-09      
1.610     92.118    39.173    26.070    47.146    23.180    70.243    7.292     1.294e+10      2.046e-09      3.891e-09      
1.620     92.360    39.415    26.070    47.291    23.260    70.484    7.551     1.294e+10      2.046e-09      3.911e-09      
1.630     92.602    39.657    26.070    47.436    23.340    70.726    7.825     1.294e+10      2.046e-09      3.931e-09      
1.640     92.844    39.899    26.070    47.581    23.419    70.968    8.115     1.294e+10      2.046e-09      3.951e-09      
1.650     93.085    40.141    26.070    47.726    23.499    71.210    8.424     1.294e+10      2.046e-09      3.970e-09      
1.660     93.327    40.383    26.070    47.871    23.579    71.452    8.752     1.294e+10      2.046e-09      3.990e-09      
1.670     93.569    40.624    26.070    48.016    23.659    71.694    9.101     1.294e+10      2.046e-09      4.010e-09      
1.680     93.811    40.866    26.070    48.161    23.739    71.935    9.475     1.294e+10      2.046e-09      4.030e-09      
1.690     94.053    41.108    26.070    48.306    23.818    72.177    9.875     1.294e+10      2.046e-09      4.050e-09      
1.700     94.294    41.350    26.070    48.451    23.898    72.419    10.305    1.294e+10      2.046e-09      4.069e-09      
1.710     94.536    41.592    26.070    48.596    23.978    72.661    10.768    1.294e+10      2.046e-09      4.089e-09      
1.720     94.778    41.833    26.070    48.742    24.058    72.903    11.267    1.294e+10      2.046e-09      4.109e-09      
1.730     95.020    42.075    26.070    48.887    24.138    73.144    11.807    1.294e+10      2.046e-09      4.129e-09      
1.740     95.262    42.317    26.070    49.032    24.217    73.386    12.394    1.294e+10      2.046e-09      4.149e-09      
1.750     95.504    42.559    26.070    49.177    24.297    73.628    13.034    1.294e+10      2.046e-09      4.168e-09      
1.760     95.745    42.801    26.070    49.322    24.377    73.870    13.734    1.294e+10      2.046e-09      4.188e-09      
1.770     95.987    43.043    26.070    49.467    24.457    74.112    14.503    1.294e+10      2.046e-09      4.208e-09      
1.780     96.229    43.284    26.070    49.612    24.537    74.354    15.352    1.294e+10      2.046e-09      4.228e-09      
